iter	Passed	Remaining
894	2201	9058
895	2208	9073
896	2213	9079
897	2216	9079
898	2218	9075
899	2224	9086
900	2229	9095
901	2231	9092
902	2233	9085
903	2238	9093
904	2239	9087
905	2243	9091
906	2245	9084
907	2247	9079
908	2248	9073
909	2250	9068
910	2252	9065
911	2259	9081
912	2261	9077
913	2263	9070
914	2264	9064
915	2266	9057
916	2308	9215
917	2331	9292
918	2334	9291
919	2335	9285
920	2337	9279
921	2339	9275
922	2365	9365
923	2371	9375
924	2374	9374
925	2377	9373
926	2380	9371
927	2384	9377
928	2393	9399
929	2396	9397
930	2406	9424
931	2409	9424
932	2420	9451
933	2426	9464
934	2428	9459
935	2438	9487
936	2444	9497
937	2455	9527
938	2459	9529
939	2461	9522
940	2470	9545
941	2474	9548
942	2478	9550
943	2489	9580
944	2494	9587
945	2505	9617
946	2508	9616
947	2519	9644
948	2528	9666
949	2538	9691
950	2541	9690
951	2543	9686
952	2551	9702
953	2554	9701
954	2556	9695
955	2568	9727
956	2570	9724
957	2582	9757
958	2585	9754
959	2590	9760
960	2600	9786
961	2604	9785
962	2613	9808
963	2616	9807
964	2621	9810
965	2631	9836
966	2634	9835
967	2648	9873
968	2652	9876
969	2662	9899
970	2665	9899
971	2671	9909
972	2677	9918
973	2681	9918
974	2685	9920
975	2691	9929
976	2696	9936
977	2700	9938
978	2704	9940
979	2707	9939
980	2710	9934
981	2712	9930
982	2715	9926
983	2718	9927
984	2721	9923
985	2724	9920
986	2727	9920
987	2729	9916
988	2738	9936
989	2742	9938
990	2745	9935
991	2747	9928
992	2749	9924
993	2753	9924
994	2758	9930
995	2762	9931
996	2771	9950
997	2773	9947
998	2776	9943
999	2778	9936
1000	2780	9931
1001	2786	9943
1002	2791	9945
1003	2792	9939
1004	2798	9946
1005	2804	9954
1006	2806	9948
1007	2807	9940
1008	2809	9934
1009	2814	9940
1010	2819	9946
1011	2821	9940
1012	2825	9942
1013	2829	9941
1014	2833	9944
1015	2836	9943
1016	2839	9941
1017	2844	9943
1018	2847	9944
1019	2850	9940
1020	2853	9937
1021	2854	9929
1022	2856	9922
1023	2859	9923
1024	2866	9933
1025	2869	9929
1026	2873	9931
1027	2877	9935
1028	2884	9946
1029	2891	9958
1030	2896	9963
1031	2912	10004
1032	2914	9999
1033	2916	9992
1034	2923	10003
1035	2928	10007
1036	2931	10006
1037	2936	10012
1038	2940	10013
1039	2942	10008
1040	2944	10002
1041	2946	9996
1042	2950	9998
1043	2952	9991
1044	2953	9984
1045	2955	9976
1046	2956	9968
1047	2958	9961
1048	2959	9953
1049	2960	9944
1050	2961	9937
1051	2963	9930
1052	2967	9929
1053	2969	9925
1054	2970	9917
1055	2973	9913
1056	2974	9905
1057	2976	9898
1058	2977	9890
1059	2978	9881
1060	2979	9874
1061	2983	9873
1062	2984	9867
1063	2986	9860
1064	2988	9854
1065	2990	9848
1066	2991	9841
1067	2992	9833
1068	2994	9825
1069	2997	9823
1070	2999	9819
1071	3001	9814
1072	3003	9808
1073	3004	9800
1074	3006	9795
1075	3008	9790
1076	3010	9784
1077	3017	9792
1078	3024	9805
1079	3025	9797
1080	3027	9790
1081	3031	9791
1082	3033	9786
1083	3034	9779
1084	3036	9773
1085	3038	9766
1086	3039	9759
1087	3041	9752
1088	3042	9745
1089	3045	9744
1090	3047	9736
1091	3049	9730
1092	3050	9723
1093	3051	9716
1094	3053	9709
1095	3055	9703
1096	3056	9695
1097	3057	9688
1098	3059	9681
1099	3060	9675
1100	3062	9670
1101	3064	9663
1102	3065	9655
1103	3066	9647
1104	3068	9640
1105	3069	9632
1106	3070	9625
1107	3071	9617
1108	3073	9611
1109	3075	9606
1110	3077	9600
1111	3078	9593
1112	3080	9587
1113	3081	9580
1114	3083	9573
1115	3084	9566
1116	3086	9559
1117	3087	9552
1118	3088	9544
1119	3091	9541
1120	3093	9536
1121	3095	9532
1122	3097	9526
1123	3098	9518
1124	3100	9512
1125	3101	9505
1126	3102	9498
1127	3104	9491
1128	3105	9484
1129	3107	9480
1130	3109	9475
1131	3111	9468
1132	3113	9462
1133	3114	9456
1134	3115	9448
1135	3116	9441
1136	3118	9433
1137	3119	9426
1138	3120	9420
1139	3122	9414
1140	3124	9410
1141	3126	9404
1142	3127	9397
1143	3129	9390
1144	3130	9383
1145	3132	9377
1146	3134	9372
1147	3136	9367
1148	3138	9363
1149	3140	9358
1150	3141	9351
1151	3144	9348
1152	3146	9344
1153	3148	9338
1154	3149	9332
1155	3153	9331
1156	3156	9331
1157	3160	9331
1158	3163	9330
1159	3166	9328
1160	3170	9327
1161	3172	9322
1162	3174	9317
1163	3176	9314
1164	3190	9344
1165	3193	9343
1166	3196	9340
1167	3203	9349
1168	3208	9354
1169	3212	9354
1170	3215	9354
1171	3220	9355
1172	3223	9353
1173	3226	9352
1174	3230	9352
1175	3236	9359
1176	3238	9354
1177	3240	9350
1178	3243	9348
1179	3246	9346
1180	3248	9340
1181	3250	9335
1182	3252	9331
1183	3255	9329
1184	3257	9324
1185	3259	9320
1186	3263	9320
1187	3265	9315
1188	3267	9311
1189	3269	9304
1190	3270	9298
1191	3272	9291
1192	3273	9286
1193	3276	9283
1194	3284	9295
1195	3285	9289
1196	3287	9282
1197	3288	9275
1198	3289	9268
1199	3291	9263
1200	3295	9263
1201	3297	9258
1202	3300	9257
1203	3302	9252
1204	3303	9245
1205	3305	9239
1206	3311	9246
1207	3313	9241
1208	3317	9242
1209	3319	9236
1210	3320	9230
1211	3322	9223
1212	3324	9221
1213	3326	9214
1214	3327	9208
1215	3329	9202
1216	3330	9194
1217	3332	9189
1218	3333	9183
1219	3335	9176
1220	3336	9170
1221	3337	9163
1222	3339	9157
1223	3341	9153
1224	3342	9146
1225	3344	9140
1226	3345	9133
1227	3346	9127
